number,num_part_types,num_parts,parts_weight,num_missing_parts,pct_missing_parts
75821-1,63,86,85.77,2.0,0.023255813953488372
41504-1,25,53,31.85,0.0,0.0
8838-1,67,295,276.10499999999996,0.0,0.0
10740-1,73,118,164.04,8.0,0.06779661016949153
7731-1,45,76,72.10000000000001,1.0,0.013157894736842105
9571-1,18,20,40.95,6.0,0.3
8858-2,47,248,215.28999999999996,0.0,0.0
10676-1,120,469,727.5,4.0,0.008528784648187633
21120-1,110,330,413.0,3.0,0.00909090909090909
5130-1,9,14,20.380000000000003,0.0,0.0
8253-1,63,229,152.42999999999998,1.0,0.004366812227074236
75139-1,125,409,423.282,5.0,0.012224938875305624
5102-1,2,2,0.0,2.0,1.0
41304-1,36,51,40.589999999999996,0.0,0.0
5884-1,137,284,393.90600000000006,2.0,0.007042253521126761
4768-1,167,565,869.9500000000002,2.0,0.0035398230088495575
60108-1,155,285,416.27500000000026,3.0,0.010526315789473684
5634-1,47,57,986.5599999999998,3.0,0.05263157894736842
5632-1,4,4,27.25,1.0,0.25
76020-1,196,468,374.0660000000001,4.0,0.008547008547008548
5089-1,11,11,50.239999999999995,6.0,0.5454545454545454
10249-1,291,919,651.36,9.0,0.009793253536452665
70833-1,74,149,194.24999999999997,8.0,0.053691275167785234
8358-1,20,32,38.92999999999999,0.0,0.0
8778-1,81,180,235.991,5.0,0.027777777777777776
3149-1,145,313,2225.07,23.0,0.07348242811501597
7581-1,52,97,619.0410000000002,4.0,0.041237113402061855
30025-1,28,61,33.559999999999995,0.0,0.0
4201-1,85,155,201.92,2.0,0.012903225806451613
4440-1,269,671,842.3719999999995,5.0,0.007451564828614009
70222-1,177,316,297.11000000000007,3.0,0.00949367088607595
6013-1,9,9,17.28,1.0,0.1111111111111111
6986-1,131,466,518.0799999999999,3.0,0.006437768240343348
10133-1,114,423,415.32000000000005,3.0,0.0070921985815602835
8793-1,19,44,115.14999999999999,0.0,0.0
21129-1,73,253,324.03000000000014,2.0,0.007905138339920948
21027-1,91,302,166.7250000000001,0.0,0.0
10594-1,21,38,373.35,1.0,0.02631578947368421
41196-1,414,926,620.2210000000002,5.0,0.005399568034557235
8010-1,85,413,265.3949999999999,0.0,0.0
7937-1,128,389,625.6420000000003,5.0,0.012853470437017995
71021-2,17,17,0.0,17.0,1.0
853777-1,33,45,40.02,1.0,0.022222222222222223
7746-1,107,239,339.0099999999999,2.0,0.008368200836820083
6296-1,123,212,287.4200000000001,4.0,0.018867924528301886
5867-1,106,294,291.06999999999994,0.0,0.0
3134-1,8,10,3.8200000000000003,3.0,0.3
4705-1,71,158,217.7,3.0,0.0189873417721519
76075-1,155,307,233.2160000000001,3.0,0.009771986970684038
3615-2,39,50,518.8800000000001,5.0,0.1
5795-1,58,114,1994.3100000000006,5.0,0.043859649122807015
9396-1,148,1072,886.7449999999999,0.0,0.0
2161-1,59,132,244.04999999999998,1.0,0.007575757575757576
75104-1,247,1015,1063.1000000000004,6.0,0.005911330049261084
60019-1,108,159,141.93000000000004,2.0,0.012578616352201259
9440-1,39,87,54.109999999999985,1.0,0.011494252873563218
6373-1,78,171,284.08000000000004,2.0,0.011695906432748537
42020-1,62,166,122.73999999999997,0.0,0.0
41194-1,258,682,439.5050000000001,4.0,0.005865102639296188
8743-1,29,50,73.08999999999999,0.0,0.0
5284-1,3,3,30.67,0.0,0.0
8480-1,214,1403,1309.5449999999996,0.0,0.0
6479-1,200,438,728.7900000000005,5.0,0.01141552511415525
8001-1,88,368,207.96499999999997,0.0,0.0
6567-1,20,26,33.58,1.0,0.038461538461538464
5391-1,1,1,18.0,0.0,0.0
853650-1,65,147,202.81,1.0,0.006802721088435374
75188-1,268,797,858.3350000000002,6.0,0.0075282308657465494
75525-1,81,157,183.49499999999995,0.0,0.0
8857-2,95,415,736.1700000000002,0.0,0.0
4430-1,210,561,791.9850000000002,3.0,0.0053475935828877
76026-1,181,358,303.65000000000003,7.0,0.019553072625698324
10862-1,18,41,355.2300000000001,0.0,0.0
3467-1,1,25,118.75,0.0,0.0
