Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions


67	Town / Classic Town / Supplemental	0011-2	Town Mini-Figures	1982	?	? x ? x ?
34	Space / Supplemental	0012-1	Space Mini-Figures	1982	?	? x ? x ?
34	Space / Supplemental	0013-1	Space Mini-Figures	1982	?	? x ? x ?
34	Space / Supplemental	0014-1	Space Mini-Figures	1982	?	? x ? x ?
34	Space / Supplemental	0015-1	Space Mini-Figures	1982	?	? x ? x ?
9	Castle / Classic Castle	0016-1	Castle Mini Figures	1982	?	? x ? x ?
167	Duplo / Playhouse	032-1	Living Room	1979	?	? x ? x ?
167	Duplo / Duplo, Town / Farm	033-1	Farm Set Animals	1979	?	? x ? x ?
167	Duplo / Playhouse	041-2	Playhouse (Play House)	1979	569	? x ? x ?
167	Duplo / Duplo, Town / Farm	045-1	Farm	1979	?	? x ? x ?
124	Train / Supplemental / 4.5V	100-1	4.5V Motor with Wheels (Small Version)	1966	?	? x ? x ?
124	Train / Supplemental / 4.5V	101-1	4.5V Battery Case	1969	74	10 x 5 x 10
124	Train / Supplemental / 4.5V	102-1	4.5V Motor Set	1968	?	25 x 20 x 5
166	Educational & Dacta / Duplo / Supplemental	1023-1	Giant Red Baseplate	1985	?	? x ? x ?
166	Educational & Dacta / Duplo / Supplemental	1028-1	6 x 12 Base Bricks	1985	?	? x ? x ?
67	Town / Classic Town / Food & Drink	1029-1	Milk Delivery Truck - Tine	1999	142	19 x 9.4 x 4.5
422	Universal Building Set / Supplemental	103-1	4.5V Motor Set with Rubber Tracks	1969	?	23 x 20.2 x 5.3
166	Educational & Dacta / Technic	1030-1	TECHNIC I: Simple Machines Set	1985	1189	38.7 x 31.4 x 6.1
166	Educational & Dacta / Technic / Supplemental	1031-1	Building Cards - 1030	1983	277	15 x 21.3 x 1.5
166	Educational & Dacta / Technic	1032-1	TECHNIC II Set 4.5v	1985	1487	39 x 31.2 x 6
166	Educational & Dacta / Technic / Supplemental	1033-1	Building Cards - 1032	1985	286	15.5 x 21.5 x 1.5
166	Educational & Dacta / Duplo / Duplo, Town / Farm	1040-1	Farm - 76 elements and a picture book (1991 version)	1991	?	? x ? x ?
166	Educational & Dacta / Duplo / Duplo, Town / Harbor	1041-1	Harbor - 70 elements	1986	?	? x ? x ?
166	Educational & Dacta / Duplo / Supplemental	1042-1	Community People	1986	?	? x ? x ?
166	Educational & Dacta / Duplo / Duplo, Town / Farm	1043-1	Farm Animals and Fences	1986	?	? x ? x ?
166	Educational & Dacta / Duplo / Duplo, Town / Traffic	1044-1	Community Vehicles	1986	?	? x ? x ?
166	Educational & Dacta / Duplo / Supplemental	1045-1	Industrial Elements	1986	530	24.8 x 24.2 x 7.6
166	Educational & Dacta / Duplo / Duplo, Train	1046-1	Train Set	1985	?	? x ? x ?
166	Educational & Dacta / Duplo / Duplo, Train	1047-1	Extra Track	1986	?	? x ? x ?
166	Educational & Dacta / Duplo / Duplo, Train	1048-1	Bridge and Crossing Tracks	1986	?	? x ? x ?
67	Town / Classic Town / Post Office	105-1	Canada Post Truck	1984	100	15.5 x 8.1 x 3.7
67	Town / Classic Town / Off-Road	106-1	UNICEF Van	1985	?	? x ? x ?
