,SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,Owned,Wanted,QtyOwned,Rating
0,2387,497,1,Space,Classic,1979,Galaxy Explorer,4.0,338.0,,32.0,,,https://images.brickset.com/sets/images/497-1.jpg,1655,1055,No,No,0.0,
1,7858,1072,1,Dacta,,1979,Supplementary LEGO Set,,304.0,,16.3,,,https://images.brickset.com/sets/images/1072-1.jpg,9,30,No,No,0.0,
2,7866,1083,2,Dacta,,1979,50 x 50 LEGO Gray Baseplate,,1.0,,10.0,,,59,35,No,No,0,,
3,7871,1091,1,Dacta,,1979,Lego Educational Storage Cloth,,1.0,,10.0,,,https://images.brickset.com/sets/images/1091-1.jpg,30,42,No,No,0.0,
4,2190,454,1,Space,Classic,1979,Two Lunar Landing Plates,,2.0,,5.0,,,https://images.brickset.com/sets/images/454-1.jpg,991,382,No,No,0.0,
5,7521,11,2,Town,Accessories,1979,Town Minifigures,3.0,3.0,,4.49,,,https://images.brickset.com/sets/images/0011-2.jpg,32,203,No,No,0.0,
6,1511,341,2,Fabuland,,1979,Catherine Cat's House and Mortimer Mouse,2.0,123.0,,3.0,,,https://images.brickset.com/sets/images/341-2.jpg,148,80,No,No,0.0,
7,7522,12,1,Space,,1979,Space minifigures,2.0,4.0,,,,,https://images.brickset.com/sets/images/0012-1.jpg,81,309,No,No,0.0,
8,7523,13,1,Space,,1979,Space minifigures,2.0,4.0,,,,,https://images.brickset.com/sets/images/0013-1.jpg,69,300,No,No,0.0,
9,7524,14,1,Space,,1979,Space minifigures,2.0,4.0,,,,,https://images.brickset.com/sets/images/0014-1.jpg,73,307,No,No,0.0,
10,7563,15,1,Space,,1979,Space Mini-Figures,3.0,18.0,,,,,https://images.brickset.com/sets/images/0015-1.jpg,86,340,No,No,0.0,
11,7525,16,1,Castle,,1979,Castle Minifigures,3.0,6.0,,,,,https://images.brickset.com/sets/images/0016-1.jpg,152,378,No,No,0.0,
12,1119,28,1,Duplo,,1979,Nursery Furniture,2.0,2.0,,,,,https://images.brickset.com/sets/images/028-1.jpg,28,22,No,No,0.0,
13,1382,32,1,Duplo,,1979,Living Room Furniture,3.0,14.0,,,,,https://images.brickset.com/sets/images/032-1.jpg,38,18,No,No,0.0,
14,7143,33,1,Duplo,,1979,Farm Animals,1.0,21.0,,,,,https://images.brickset.com/sets/images/033-1.jpg,77,23,No,No,0.0,
15,1946,41,2,Duplo,,1979,Play-Box,,4.0,,,,,8,17,No,No,0,,
16,2159,45,1,Duplo,,1979,Farm,5.0,65.0,,,,,https://images.brickset.com/sets/images/045-1.jpg,45,20,No,No,0.0,
17,3789,71,1,Duplo,,1979,Block Box,,24.0,,,,,4,16,No,No,0,,
18,194,121,1,Fabuland,,1979,Roadster,1.0,22.0,,,,,https://images.brickset.com/sets/images/121-1.jpg,158,63,No,No,0.0,
19,229,128,1,Fabuland,,1979,Taxi Station,1.0,33.0,,,,,https://images.brickset.com/sets/images/128-1.jpg,125,69,No,No,0.0,
20,250,132,1,Fabuland,,1979,Cottage,2.0,113.0,,,,,https://images.brickset.com/sets/images/132-1.jpg,108,80,No,No,0.0,
21,251,134,2,Fabuland,,1979,Service Station,2.0,59.0,,,,,https://images.brickset.com/sets/images/134-2.jpg,92,68,No,No,0.0,
22,266,137,1,Fabuland,,1979,Hospital,3.0,106.0,,,,,https://images.brickset.com/sets/images/137-1.jpg,82,79,No,No,0.0,
23,285,140,1,Fabuland,,1979,Town Hall,3.0,134.0,,,,,https://images.brickset.com/sets/images/140-1.jpg,65,83,No,No,0.0,
24,964,261,1,Homemaker,,1979,Bathroom,1.0,164.0,,,,,https://images.brickset.com/sets/images/261-1.jpg,98,89,No,No,0.0,
25,1030,268,1,Homemaker,,1979,Family Room,2.0,244.0,,,,,https://images.brickset.com/sets/images/268-1.jpg,122,93,No,No,0.0,
26,1038,269,1,Homemaker,,1979,Kitchen,1.0,212.0,,,,,https://images.brickset.com/sets/images/269-1.jpg,191,100,No,No,0.0,
27,1273,305,1,Space,Classic,1979,Two Crater Plates,,2.0,,,,,https://images.brickset.com/sets/images/305-1.jpg,2243,556,No,No,0.0,
28,1284,306,1,Space,Classic,1979,Two Lunar Landing Plates,,2.0,,,,,https://images.brickset.com/sets/images/306-1.jpg,1384,458,No,No,0.0,
29,1300,308,1,Scala,Jewellery,1979,Bracelet,,38.0,,,,,https://images.brickset.com/sets/images/308-1.jpg,43,31,No,No,0.0,
30,1309,309,1,Scala,Jewellery,1979,Bracelet,,38.0,,,,,https://images.brickset.com/sets/images/309-1.jpg,47,37,No,No,0.0,
31,1316,310,2,Scala,Jewellery,1979,Pendant,,29.0,,,,,https://images.brickset.com/sets/images/310-2.jpg,57,26,No,No,0.0,
32,1328,311,2,Scala,Jewellery,1979,Pendant,,29.0,,,,,https://images.brickset.com/sets/images/311-2.jpg,43,30,No,No,0.0,
33,1337,312,2,Scala,Jewellery,1979,Bracelet and Pendant,,1.0,,,,,https://images.brickset.com/sets/images/312-2.jpg,31,29,No,No,0.0,
34,1344,313,2,Scala,Jewellery,1979,Bracelet and Pendant,,137.0,,,,,https://images.brickset.com/sets/images/313-2.jpg,31,33,No,No,0.0,
35,1406,324,1,Fabuland,,1979,Ricky Racoon on his Scooter,1.0,2.0,,,,,https://images.brickset.com/sets/images/324-1.jpg,581,82,No,No,0.0,
36,1414,325,2,Fabuland,,1979,Percy Pig with his Barrow,1.0,3.0,,,,,https://images.brickset.com/sets/images/325-2.jpg,390,72,No,No,0.0,
37,1431,328,1,Fabuland,,1979,Michael Mouse and his New Car,1.0,22.0,,,,,https://images.brickset.com/sets/images/328-1.jpg,287,72,No,No,0.0,
38,1439,329,2,Fabuland,,1979,Bernard Bear and his Delivery Lorry,1.0,109.0,,,,,https://images.brickset.com/sets/images/329-2.jpg,224,80,No,No,0.0,
39,7332,338,2,Fabuland,,1979,Blondi the Pig and Taxi Station,1.0,37.0,,,,,https://images.brickset.com/sets/images/338-2.jpg,162,71,No,No,0.0,
40,1537,344,2,Fabuland,,1979,Service Station with Billy Goat and Mike Monkey,2.0,80.0,,,,,https://images.brickset.com/sets/images/344-2.jpg,102,78,No,No,0.0,
41,1567,347,3,Fabuland,,1979,Hospital - Lucy Lamb and Charlie Cat Visit Dr. Dog,3.0,205.0,,,,,https://images.brickset.com/sets/images/347-3.jpg,98,81,No,No,0.0,
42,1598,350,3,Fabuland,,1979,Town Hall,3.0,122.0,,,,,https://images.brickset.com/sets/images/350-3.jpg,93,75,No,No,0.0,
43,1676,361,2,Town,Classic,1979,Garage,1.0,79.0,,,,,https://images.brickset.com/sets/images/361-2.jpg,1352,518,No,No,0.0,
44,1817,379,1,Town,Classic,1979,Bus Station,4.0,172.0,,,,,https://images.brickset.com/sets/images/379-1.jpg,1180,526,No,No,0.0,
45,1835,381,2,Town,Classic,1979,Police Headquarters,4.0,372.0,,,,,https://images.brickset.com/sets/images/381-2.jpg,1220,413,No,No,0.0,
46,1836,383,2,Castle,Classic,1979,Knight's Joust,6.0,102.0,,,,,https://images.brickset.com/sets/images/383-2.jpg,671,583,No,No,0.0,
47,2104,442,1,Space,Classic,1979,Space Shuttle,1.0,39.0,,,,,https://images.brickset.com/sets/images/442-1.jpg,1892,613,No,No,0.0,
48,2176,452,1,Space,Classic,1979,Mobile Ground Tracking Station,1.0,76.0,,,,,https://images.brickset.com/sets/images/452-1.jpg,1402,692,No,No,0.0,
49,2180,453,1,Space,Classic,1979,Two Crater Plates,,2.0,,,,,https://images.brickset.com/sets/images/453-1.jpg,642,404,No,No,0.0,
50,2752,540,2,Town,Classic,1979,Police Units,1.0,49.0,,,,,https://images.brickset.com/sets/images/540-2.jpg,518,204,No,No,0.0,
51,2763,542,1,Town,Classic,1979,Street Crew,2.0,45.0,,,,,https://images.brickset.com/sets/images/542-1.jpg,561,298,No,No,0.0,
52,2796,551,1,Town,Accessories,1979,"Road Plates, Junction",,2.0,,,,,https://images.brickset.com/sets/images/551-1.jpg,348,150,No,No,0.0,
53,2798,552,1,Town,Accessories,1979,"Road Plates, Curved",,2.0,,,,,https://images.brickset.com/sets/images/552-1.jpg,318,136,No,No,0.0,
54,2800,553,1,Town,Accessories,1979,"Road Plates, Straight",,2.0,,,,,https://images.brickset.com/sets/images/553-1.jpg,306,138,No,No,0.0,
55,2802,554,1,Town,Classic,1979,Exxon Fuel Tanker,1.0,79.0,,,,,https://images.brickset.com/sets/images/554-1.jpg,462,297,No,No,0.0,
56,2809,556,1,Town,Classic,1979,Emergency Van,1.0,70.0,,,,,https://images.brickset.com/sets/images/556-1.jpg,290,191,No,No,0.0,
57,2814,558,1,Town,Classic,1979,Road Crane,1.0,55.0,,,,,https://images.brickset.com/sets/images/558-1.jpg,234,180,No,No,0.0,
58,2821,560,1,Town,Classic,1979,Town House,2.0,221.0,,,,,https://images.brickset.com/sets/images/560-1.jpg,347,374,No,No,0.0,
59,2920,588,1,Town,Classic,1979,Police Headquarters,4.0,372.0,,,,,https://images.brickset.com/sets/images/588-1.jpg,497,244,No,No,0.0,
60,6031,607,1,Town,Classic,1979,Mini Loader,1.0,23.0,,,,,https://images.brickset.com/sets/images/607-1.jpg,1255,217,No,No,0.0,
61,3042,608,2,Town,Classic,1979,Taxi,1.0,25.0,,,,,https://images.brickset.com/sets/images/608-2.jpg,1209,187,No,No,0.0,
62,3303,645,1,Town,Classic,1979,Police Helicopter,1.0,57.0,,,,,https://images.brickset.com/sets/images/645-1.jpg,1120,248,No,No,0.0,
63,3314,646,1,Town,Classic,1979,Auto Service,1.0,43.0,,,,,https://images.brickset.com/sets/images/646-1.jpg,939,285,No,No,0.0,
64,3591,675,1,Town,Classic,1979,Snack Bar,2.0,64.0,,,,,https://images.brickset.com/sets/images/675-1.jpg,1990,654,No,No,0.0,
65,3601,677,1,Castle,Classic,1979,Knight's Procession,6.0,48.0,,,,,https://images.brickset.com/sets/images/677-1.jpg,906,514,No,No,0.0,
66,4361,856,1,Technic,,1979,Bulldozer,,372.0,,,,,https://images.brickset.com/sets/images/856-1.jpg,1152,343,No,No,0.0,
67,4372,857,1,Technic,,1979,Motorbike with Sidecar,,409.0,,,,,https://images.brickset.com/sets/images/857-1.jpg,503,355,No,No,0.0,
68,4441,874,1,Technic,Supplementary,1979,Yellow Beams with Connector Pegs,,38.0,,,,,https://images.brickset.com/sets/images/874-1.jpg,154,110,No,No,0.0,
69,4442,875,1,Technic,Supplementary,1979,Red Beams with Connector Pegs,,38.0,,,,,https://images.brickset.com/sets/images/875-1.jpg,112,111,No,No,0.0,
70,4443,876,1,Technic,Supplementary,1979,Blue Beams with Connector Pegs,,38.0,,,,,https://images.brickset.com/sets/images/876-1.jpg,99,115,No,No,0.0,
71,4444,877,1,Technic,Supplementary,1979,Steering Gear Parts,,24.0,,,,,https://images.brickset.com/sets/images/877-1.jpg,113,131,No,No,0.0,
72,4453,878,1,Technic,Supplementary,1979,Piston Parts,,52.0,,,,,https://images.brickset.com/sets/images/878-1.jpg,100,117,No,No,0.0,
73,4457,879,1,Technic,Supplementary,1979,Gear Wheels with Chain Links,,87.0,,,,,https://images.brickset.com/sets/images/879-1.jpg,172,144,No,No,0.0,
74,4460,880,1,Technic,Supplementary,1979,12 Volt Motor,,22.0,,,,,https://images.brickset.com/sets/images/880-1.jpg,215,147,No,No,0.0,
75,4492,885,1,Space,Classic,1979,Space Scooter,1.0,20.0,,,,,https://images.brickset.com/sets/images/885-1.jpg,2809,652,No,No,0.0,
76,4505,886,1,Space,Classic,1979,Space Buggy,1.0,20.0,,,,,https://images.brickset.com/sets/images/886-1.jpg,3733,632,No,No,0.0,
77,4514,889,1,Space,Classic,1979,Radar Truck,1.0,29.0,,,,,https://images.brickset.com/sets/images/889-1.jpg,2353,634,No,No,0.0,
78,4518,891,1,Space,Classic,1979,Two Seater Space Scooter,1.0,39.0,,,,,https://images.brickset.com/sets/images/891-1.jpg,1835,553,No,No,0.0,
79,4519,894,1,Space,Classic,1979,Mobile Ground Tracking Station,1.0,76.0,,,,,https://images.brickset.com/sets/images/894-1.jpg,1402,611,No,No,0.0,
80,4521,897,1,Space,Classic,1979,Mobile rocket launcher,2.0,76.0,,,,,https://images.brickset.com/sets/images/897-1.jpg,2699,557,No,No,0.0,
81,4527,918,1,Space,Classic,1979,One Man Space Ship,1.0,86.0,,,,,https://images.brickset.com/sets/images/918-1.jpg,2918,872,No,No,0.0,
82,4528,920,2,Space,Classic,1979,Rocket Launch Pad,3.0,186.0,,,,,https://images.brickset.com/sets/images/920-2.jpg,1606,722,No,No,0.0,
